"total_appointments","reason_for_visit","status","total_revenue_lost","average_revenue_lost_per_appointment"
"15","Consultation","Cancelled","46702.98","3113.53"
"15","Therapy","No-show","44146.08","2943.07"
"10","Therapy","Cancelled","33653.73","3365.37"
"10","Checkup","No-show","30946.00","3094.60"
"11","Consultation","No-show","28823.04","2620.28"
"10","Emergency","No-show","27089.21","2708.92"
"8","Emergency","Cancelled","26638.76","3329.85"
"10","Follow-up","Cancelled","24674.79","2467.48"
"8","Checkup","Cancelled","20374.62","2546.83"
"6","Follow-up","No-show","11673.48","1945.58"
